Number,Label,Length_px
46,FR_NTR1_C1_F_TIBIA_14.tif,183.565
47,FR_NTR1_C1_F_TIBIA_15.tif,211.691
48,FR_NTR1_C1_F_TIBIA_16.tif,221.939
49,FR_NTR1_C1_F_TIBIA_17.tif,212.174
50,FR_NTR1_C1_F_TIBIA_18.tif,231.234
51,FR_NTR1_C1_F_TIBIA_19.tif,220.111
52,FR_NTR1_C1_F_TIBIA_2.tif,201.792
53,FR_NTR1_C1_F_TIBIA_20.tif,221.653
54,FR_NTR1_C1_F_TIBIA_3.tif,226.883
55,FR_NTR1_C1_F_TIBIA_4.tif,252.858
56,FR_NTR1_C1_F_TIBIA_5.tif,215.205
57,FR_NTR1_C1_F_TIBIA_6.tif,256.603
58,FR_NTR1_C1_F_TIBIA_7.tif,240.169
59,FR_NTR1_C1_F_TIBIA_8.tif,220.538
60,FR_NTR1_C1_F_TIBIA_9.tif,254.922
41,FR_NTR1_C1_F_WING_1.tif,1130.825
42,FR_NTR1_C1_F_WING_10.tif,1151.059
43,FR_NTR1_C1_F_WING_11.tif,1149.95
44,FR_NTR1_C1_F_WING_12.tif,1130.658
45,FR_NTR1_C1_F_WING_13.tif,1003.899
46,FR_NTR1_C1_F_WING_14.tif,841.958
47,FR_NTR1_C1_F_WING_15.tif,1024.372
48,FR_NTR1_C1_F_WING_16.tif,1051.35
49,FR_NTR1_C1_F_WING_17.tif,1028.031
50,FR_NTR1_C1_F_WING_18.tif,1031.769
51,FR_NTR1_C1_F_WING_19.tif,978.146
52,FR_NTR1_C1_F_WING_2.tif,998.804
53,FR_NTR1_C1_F_WING_20.tif,978.941
54,FR_NTR1_C1_F_WING_3.tif,970.206
55,FR_NTR1_C1_F_WING_4.tif,1131.368
56,FR_NTR1_C1_F_WING_5.tif,1018.059
57,FR_NTR1_C1_F_WING_6.tif,1152.606
58,FR_NTR1_C1_F_WING_7.tif,1125.231
59,FR_NTR1_C1_F_WING_8.tif,981.903
60,FR_NTR1_C1_F_WING_9.tif,1123.835
61,FR_NTR1_C1_M_FEMUR_1.tif,297.067
62,FR_NTR1_C1_M_FEMUR_10.tif,272.501
63,FR_NTR1_C1_M_FEMUR_11.tif,298.062
64,FR_NTR1_C1_M_FEMUR_12.tif,228.002
65,FR_NTR1_C1_M_FEMUR_13.tif,303.389
66,FR_NTR1_C1_M_FEMUR_14.tif,204.189
67,FR_NTR1_C1_M_FEMUR_15.tif,251.668
68,FR_NTR1_C1_M_FEMUR_16.tif,286.248
69,FR_NTR1_C1_M_FEMUR_17.tif,240.52
70,FR_NTR1_C1_M_FEMUR_18.tif,310.601
71,FR_NTR1_C1_M_FEMUR_19.tif,296.892
72,FR_NTR1_C1_M_FEMUR_2.tif,257.651
73,FR_NTR1_C1_M_FEMUR_20.tif,267.66
74,FR_NTR1_C1_M_FEMUR_3.tif,279.235
75,FR_NTR1_C1_M_FEMUR_4.tif,289.883
76,FR_NTR1_C1_M_FEMUR_5.tif,261.725
77,FR_NTR1_C1_M_FEMUR_6.tif,254.024
78,FR_NTR1_C1_M_FEMUR_7.tif,232.71
79,FR_NTR1_C1_M_FEMUR_8.tif,298.69
80,FR_NTR1_C1_M_FEMUR_9.tif,308.501
61,FR_NTR1_C1_M_HEAD_1.tif,445.708
62,FR_NTR1_C1_M_HEAD_10.tif,398.407
63,FR_NTR1_C1_M_HEAD_11.tif,442.499
64,FR_NTR1_C1_M_HEAD_12.tif,355.928
65,FR_NTR1_C1_M_HEAD_13.tif,427.477
66,FR_NTR1_C1_M_HEAD_14.tif,353.344
67,FR_NTR1_C1_M_HEAD_15.tif,430.119
68,FR_NTR1_C1_M_HEAD_16.tif,420.529
69,FR_NTR1_C1_M_HEAD_17.tif,357.001
70,FR_NTR1_C1_M_HEAD_18.tif,437.887
71,FR_NTR1_C1_M_HEAD_19.tif,375
72,FR_NTR1_C1_M_HEAD_2.tif,380.084
73,FR_NTR1_C1_M_HEAD_20.tif,441.073
