"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"SCT","4",1,"F","14",8.97354223943066,9.64130434339063,7.38537335651893,9.81855982001994,8.70186319255207,10.9748521324901,0.0623873307180176
"SCT","4",1,"F","15",9.14282950116483,9.82964025646885,7.52759798402564,10.0173443623575,8.83607234491709,11.1198390452929,0.261171873055579
"SCT","4",1,"F","16",9.2001219869223,9.79108496985016,7.5014023325378,10.0000776323464,8.88115969244217,11.0912412425735,0.24390514304447
"SCT","4",1,"F","17",9.02898749591677,9.70804917547086,7.34743482354632,9.81902927322096,8.78655580665191,10.9967853069729,0.0628567839190328
"SCT","4",1,"F","18",9.11171189335018,9.73787102771579,7.42099374313178,9.93408801273134,8.90161553896634,11.004512346314,0.177915523429409
"SCT","4",1,"F","19",9.23112869224471,9.82900313831616,7.62872281706629,10.0240735132252,8.8932422468988,11.1000784349529,0.267901023923303
"SCT","4",1,"F","2",9.02458369917073,9.72253539863994,7.58829968932853,9.90523004684517,8.89540211815476,11.0083747309994,0.149057557543243
"SCT","4",1,"F","20",9.20793409320221,9.80042590235016,7.64882499524326,9.91973949498924,8.75982114664795,11.0598217494854,0.163567005687309
"SCT","4",1,"F","3",9.06635735456095,9.71587537395727,7.56724504568276,9.85833834805677,8.79546106071161,10.9927877026115,0.102165858754844
"SCT","4",1,"F","4",9.06255322225264,9.64273172193776,7.53576254876066,9.95974436994729,8.87067865911424,11.0440467117945,0.203571880645361
"SCT","4",1,"F","5",9.20729869466823,9.82499405333018,7.57634226956143,9.93283390924309,9.05181359483816,11.0451278081278,0.176661419941162
"SCT","4",1,"F","6",9.22720291603047,9.75796283347125,7.49144570294665,9.97563056844132,8.91485805308724,11.1044055169226,0.219458079139399
"SCT","4",1,"F","7",9.10476379576125,9.67675220069563,7.54326270483042,9.9050761245969,8.81225496117898,10.95501962727,0.148903635294969
"SCT","4",1,"F","8",9.05119155496141,9.70658545537946,7.66348500700269,9.88405636602267,8.83577285698128,10.983216946429,0.127883876720743
"SCT","4",1,"F","9",9.04897937167865,9.6987666839892,7.49275736593539,9.90847817148677,8.79798329767768,11.0404393185923,0.15230568218484
"SCT","4",1,"M","1",9.0128035328155,9.60404661981667,7.46539925031493,9.70587231696691,8.86215793290439,10.7971842620116,-0.0503001723350138
"SCT","4",1,"M","10",9.10593793661189,9.66755916399766,7.39548129948939,9.76107106372667,8.82460644007682,10.8301370723391,0.00489857442474673
"SCT","4",1,"M","11",8.98814237422346,9.69038899965737,7.37972887040142,9.72757995278567,8.8307957897703,10.8715010431198,-0.0285925365162605
"SCT","4",1,"M","12",9.12656027028037,9.60655121859128,7.39105979268083,9.78891165391336,8.87920634485366,10.8897347380255,0.0327391646114332
"SCT","4",1,"M","13",9.10820556039077,9.69453696581741,7.38545360298502,9.81172358288361,8.77805987608938,10.8922895793129,0.0555510935816859
"SCT","4",1,"M","14",9.08163781022055,9.67396265838856,7.42909760852561,9.79017300019704,8.86145424955216,10.8734491100166,0.0340005108951171
