Initials,Treatment,Replicate,Generation,Cohort,Sex,Individual,Trait,length,scale,scale_mm,length_mm,NewTrait,Cohort0
AW,NT,2,35,1,F,12,L,262.374,1.86e-6,0.0018599999999999999,0.48801564000000003,tibia,0
AW,NT,2,35,1,F,11,L,322.188,1.86e-6,0.0018599999999999999,0.5992696799999999,femur,0
AW,NT,2,35,1,F,11,L,251.432,1.86e-6,0.0018599999999999999,0.46766351999999994,tibia,0
AW,NT,2,35,1,F,10,L,319.34,1.86e-6,0.0018599999999999999,0.5939724,femur,0
AW,NT,2,35,1,F,10,L,258.382,1.86e-6,0.0018599999999999999,0.48059051999999997,tibia,0
AW,NT,2,35,1,F,9,L,325.613,1.86e-6,0.0018599999999999999,0.60564018,femur,0
AW,NT,2,35,1,F,9,L,261.721,1.86e-6,0.0018599999999999999,0.48680105999999995,tibia,0
AW,NT,2,35,1,F,8,L,333.542,1.86e-6,0.0018599999999999999,0.6203881199999999,femur,0
AW,NT,2,35,1,F,8,L,282.113,1.86e-6,0.0018599999999999999,0.5247301799999999,tibia,0
AW,NT,2,35,1,F,7,L,324.854,1.86e-6,0.0018599999999999999,0.60422844,femur,0
AW,NT,2,35,1,F,7,L,266.595,1.86e-6,0.0018599999999999999,0.49586670000000005,tibia,0
AW,NT,2,35,1,F,6,L,297.405,1.86e-6,0.0018599999999999999,0.5531732999999999,femur,0
AW,NT,2,35,1,F,6,L,243.822,1.86e-6,0.0018599999999999999,0.45350892,tibia,0
AW,NT,2,35,1,F,5,L,326.588,1.86e-6,0.0018599999999999999,0.60745368,femur,0
AW,NT,2,35,1,F,5,L,261.199,1.86e-6,0.0018599999999999999,0.48583014,tibia,0
AW,NT,2,35,1,F,4,L,319.833,1.86e-6,0.0018599999999999999,0.59488938,femur,0
AW,NT,2,35,1,F,4,L,248.652,1.86e-6,0.0018599999999999999,0.46249271999999997,tibia,0
AW,NT,2,35,1,F,3,L,319.87,1.86e-6,0.0018599999999999999,0.5949582,femur,0
AW,NT,2,35,1,F,3,L,255.633,1.86e-6,0.0018599999999999999,0.47547738,tibia,0
AW,NT,2,35,1,F,2,L,335.252,1.86e-6,0.0018599999999999999,0.62356872,femur,0
AW,NT,2,35,1,F,2,L,271.892,1.86e-6,0.0018599999999999999,0.50571912,tibia,0
AW,NT,2,35,1,F,1,L,316.526,1.86e-6,0.0018599999999999999,0.58873836,femur,0
AW,NT,2,35,1,F,1,L,256.049,1.86e-6,0.0018599999999999999,0.4762511399999999,tibia,0
AW,NT,2,35,1,F,20,L,332.399,1.86e-6,0.0018599999999999999,0.61826214,femur,0
